NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant,num,Impact Grant,Reopening and Support Grant
PUSH Fitness & Performance,Fitness establishment,yes,yes,0,1,1
PZZA.CO-HFX,Restaurant with onsite dining,yes,yes,4,1,1
Qiu Brothers Dumplings,Restaurant with onsite dining,yes,yes,4,1,1
Quality Cameras & Computers,Small retail,no,yes,2,0,1
Quality Cuts,Personal care service,yes,yes,7,1,1
Quality Cuts Hair Design,Personal care service,no,yes,7,0,1
Quay Entertainment,"Live, performing arts for audience",yes,yes,3,1,1
Queen Nails,Personal care service,yes,yes,7,1,1
Queen Nails,Personal care service,yes,yes,7,1,1
Queens Furniture,Small retail,no,yes,2,0,1
Queensberry Rules Boxing Studio,Fitness establishment,yes,yes,0,1,1
Quick As A Wink Theatre Society,"Live, performing arts for audience",yes,yes,3,1,1
Quickies Caf̩,Restaurant with onsite dining,yes,yes,4,1,1
Quigg Counselling & Therapy Services,Self-regulated health professional,yes,yes,6,1,1
Quincy Street Market,Small retail,no,yes,2,0,1
Quiznos Sub,Restaurant with onsite dining,yes,no,4,1,0
Quiznos Sub,Restaurant with onsite dining,yes,no,4,1,0
R Studios,Fitness establishment,yes,yes,0,1,1
Rabbit Hole Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Radco Enterprises,Small retail,no,yes,2,0,1
Rainbow Nails,Personal care service,yes,yes,7,1,1
Rainbows End Equestrian Center,Fitness establishment,yes,yes,0,1,1
Ralph's Downeast Diner,Restaurant with onsite dining,yes,yes,4,1,1
Randy's Pizza and Donair,Restaurant with onsite dining,yes,yes,4,1,1
Rasa Flavours of India & Sura Lounge,Restaurant with onsite dining,yes,yes,4,1,1
Rath Eastlink Community Centre,Fitness establishment,yes,yes,0,1,1
Rave'N Ink Custom Tattoo Studio,Personal care service,yes,yes,7,1,1
Rawzwe La Barbershop D'Houmes,Personal care service,yes,no,7,1,0
Ray of Halifax Props and Production,"Live, performing arts for audience",yes,yes,3,1,1
Ray's Falafel Lebanese Cuisine,Restaurant with onsite dining,yes,no,4,1,0
Ray's Lebanese Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
RCR Hospitality Group,Restaurant with onsite dining,no,yes,4,0,1
RDT Dental Lab,Self-regulated health professional,yes,yes,6,1,1
Reaching Strides Equestrian Centre,Fitness establishment,yes,yes,0,1,1
Rea's Electrolysis,Personal care service,no,yes,7,0,1
Red Barn Restaurant & Gift Shops,Restaurant with onsite dining,no,yes,4,0,1
Red Cap Restaurant & Motel,Restaurant with onsite dining,yes,yes,4,1,1
Red Chilies Flavours of India,Restaurant with onsite dining,yes,yes,4,1,1
Rediscover Hearing,Self-regulated health professional,yes,yes,6,1,1
Redo's Pizza & Donair,Restaurant with onsite dining,yes,no,4,1,0
Redwan Medical Inc.,Personal care service,yes,yes,7,1,1
Refine Hair and Aesthetics,Personal care service,yes,yes,7,1,1
Reflections Hair Studio,Personal care service,yes,yes,7,1,1
Refresh Body and Skincare Clinic,Personal care service,yes,yes,7,1,1
Regional Chiropractic,Self-regulated health professional,yes,yes,6,1,1
Reid Optometry Inc.,Self-regulated health professional,yes,yes,6,1,1
Reid Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Reid's Restaurant and Bakery,Restaurant with onsite dining,yes,no,4,1,0
Reigning Cats n Dogs Pet Spa,Personal care service,yes,yes,7,1,1
Reilly's Lounge,Drinking establishment,yes,no,1,1,0
Remedy Facial Bar & Spa,Personal care service,yes,yes,7,1,1
Resolutions Massage Therapy,Self-regulated health professional,yes,yes,6,1,1
Resonate Therapy,Self-regulated health professional,yes,yes,6,1,1
Restaurant Compose,Restaurant with onsite dining,no,yes,4,0,1
Restaurant with onsite dining,Restaurant with onsite dining,yes,yes,4,1,1
Restaurant with onsite dining,Restaurant with onsite dining,yes,yes,4,1,1
Restaurant with onsite dining,Restaurant with onsite dining,yes,yes,4,1,1
Restaurant with onsite dining,Restaurant with onsite dining,yes,yes,4,1,1
Restless Pines Farm,Fitness establishment,yes,yes,0,1,1
Resto - Urban Dining,Restaurant with onsite dining,yes,yes,4,1,1
Restore.Renew.Revive. Counselling & Couples Therapy,Self-regulated health professional,yes,yes,6,1,1
Retro Runway Fashions,Small retail,no,yes,2,0,1
Revamped Hair & Nail Studio,Personal care service,yes,yes,7,1,1
Revitalize Laser,Personal care service,yes,yes,7,1,1
Revive Hair Studio,Personal care service,yes,yes,7,1,1
Revive Salon & Spa,Personal care service,yes,yes,7,1,1
Revive Tanning & Wellness,Personal care service,yes,yes,7,1,1
Revolution Fitness,Fitness establishment,yes,yes,0,1,1
Rhubarb Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Rick's Frame and Art,Small retail,no,yes,2,0,1
Rinaldo's Italian American Specialties,Restaurant with onsite dining,yes,yes,4,1,1
Ristorante A Mano,Restaurant with onsite dining,yes,yes,4,1,1
River Pub,Restaurant with onsite dining,yes,yes,4,1,1
Riverbank General Store & Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Riverlakes Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Roach Chiropractic Centre,Self-regulated health professional,yes,yes,6,1,1
Road Apples,Small retail,no,yes,2,0,1
Roadside Chinese Cuisine,Restaurant with onsite dining,yes,yes,4,1,1
Roadside Grill & Cabins,Restaurant with onsite dining,yes,yes,4,1,1
Roadside Willies Smokehouse & Bar,Restaurant with onsite dining,yes,yes,4,1,1
Robie St. Station,Restaurant with onsite dining,yes,yes,4,1,1
Robin's Donuts,Restaurant with onsite dining,no,yes,4,0,1
Robin's Donuts,Restaurant with onsite dining,yes,yes,4,1,1
Robins Donuts,Restaurant with onsite dining,yes,yes,4,1,1
Rob's Underground Entertainment,Drinking establishment,no,yes,1,0,1
Rock the Hub Music Festival,"Live, performing arts for audience",yes,yes,3,1,1
Rockbound Productions,"Live, performing arts for audience",yes,yes,3,1,1
Rockhead Hair Design,Personal care service,no,yes,7,0,1
Rockin' Rogi Diner,Restaurant with onsite dining,yes,yes,4,1,1
Rocky Hollow Ranch,Fitness establishment,yes,no,0,1,0
Rocky's Noodles,Restaurant with onsite dining,yes,yes,4,1,1
Rohan Wood Stables,Fitness establishment,yes,yes,0,1,1
Rohland Optometry,Self-regulated health professional,yes,yes,6,1,1
Roll It Up Sushi,Restaurant with onsite dining,yes,yes,4,1,1
Rolling Sea Tattooery,Personal care service,yes,yes,7,1,1
Roman Catholic Episcopal Corporation,Charity,yes,yes,7,1,1
Roof Hound Brewing,Drinking establishment,yes,yes,1,1,1
Room 152 Clothing Boutique,Small retail,no,yes,2,0,1
Rose & Rooster Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Roses Garden of Gifts,Small retail,no,yes,2,0,1
Roseway Stable,Fitness establishment,yes,yes,0,1,1
Ross Creek Centre for the Arts,"Live, performing arts for audience",no,yes,3,0,1
Ross Graphic,Small retail,no,yes,2,0,1
Rousseau Chocolatier,Restaurant with onsite dining,yes,yes,4,1,1
Route 16 Auto Sales,Small retail,no,yes,2,0,1
Route 19 Brewing,Restaurant with onsite dining,yes,yes,4,1,1
Route 3 Cellar,Restaurant with onsite dining,yes,yes,4,1,1
Rowan's Room Respite and Developmental Centre,Charity,yes,yes,7,1,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,yes,no,1,1,0
Royal Canadian Legion,Drinking establishment,yes,yes,1,1,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Royal Canadian Legion,Drinking establishment,no,yes,1,0,1
Rudder's Seafood Restaurant & Brew Pub,Restaurant with onsite dining,yes,yes,4,1,1
Rudy's Catering,Restaurant with onsite dining,yes,no,4,1,0
Rugovas Pizza,Restaurant with onsite dining,yes,yes,4,1,1
RuSafe,Self-regulated health professional,yes,yes,6,1,1
Rush Hour Pizza & Variety,Restaurant with onsite dining,yes,yes,4,1,1
Rusty Razor Hair Design,Personal care service,yes,no,7,1,0
S.H.A.I.D.Tree Shelter Society,Charity,yes,yes,7,1,1
S.R. Proactive Health & Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Saba Physiotherapy Services,Self-regulated health professional,yes,yes,6,1,1
Sable Shortbread,Restaurant with onsite dining,yes,yes,4,1,1
Sackville Arena,Fitness establishment,yes,yes,0,1,1
Sackville Chiropractic Clinic,Self-regulated health professional,yes,yes,6,1,1
Sackville Hearing Centre,Self-regulated health professional,yes,yes,6,1,1
Sacred Temple Tattoo and Design,Personal care service,yes,yes,7,1,1
Safer Smiles,Self-regulated health professional,yes,yes,6,1,1
Safety Services Nova Scotia,Charity,yes,yes,7,1,1
Saffron Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Sage and Sweetgrass,Personal care service,yes,yes,7,1,1
Sahla Thai Limited,Personal care service,yes,no,7,1,0
Saigon Nails & Spa,Personal care service,yes,yes,7,1,1
Saint Antonio's Antiochian Christian Orthodox Church,Charity,yes,yes,7,1,1
Saint Lou's Barbershop,Personal care service,yes,yes,7,1,1
Saint Theresa's Community Centre,Charity,no,yes,7,0,1
Sainte-Famille Wines,Drinking establishment,yes,yes,1,1,1
Saj House,Restaurant with onsite dining,yes,yes,4,1,1
Salmon River Country Inn,Restaurant with onsite dining,no,yes,4,0,1
Salon 101 Hair Design,Personal care service,no,yes,7,0,1
Salon 117 Hair Design,Personal care service,yes,yes,7,1,1
Salon by the Sea Hairstyling & Estheticians,Personal care service,yes,yes,7,1,1
Salon Eight Sixty,Personal care service,yes,yes,7,1,1
Salon Judy,Personal care service,yes,no,7,1,0
Salon Pandora,Personal care service,yes,yes,7,1,1
Salon Rejeanne,Personal care service,yes,yes,7,1,1
Salon Studio 63,Personal care service,yes,yes,7,1,1
Salt Shaker Deli & Inn,Restaurant with onsite dining,yes,yes,4,1,1
Saltbox Brewing Company,Drinking establishment,yes,yes,1,1,1
Salty Dog Brewing Company,Drinking establishment,yes,yes,1,1,1
Salty Shores Inn & Cafe,Restaurant with onsite dining,yes,yes,4,1,1
Salty's Bar & Grill,Restaurant with onsite dining,yes,yes,4,1,1
Sambea Farm,Fitness establishment,yes,yes,0,1,1
Sam's Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Sam's Seafood & Grill,Restaurant with onsite dining,yes,no,4,1,0
Sandeannie's Bakery,Restaurant with onsite dining,yes,no,4,1,0
Sandpiper Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Sandra's Hair Salon,Small retail,no,yes,2,0,1
Sarah's Hair Studio,Personal care service,yes,yes,7,1,1
Saskia Roch Aesthetics,Self-regulated health professional,yes,yes,6,1,1
Saucy's Pizza,Restaurant with onsite dining,yes,yes,4,1,1
Savoy Theatre Society,"Live, performing arts for audience",yes,yes,3,1,1
Scallywags Barbershop,Personal care service,yes,yes,7,1,1
Schaefer Dental Lab,Self-regulated health professional,yes,yes,6,1,1
Schoolhouse Brewery,Restaurant with onsite dining,yes,yes,4,1,1
Scissor Over Comb Barbershop,Personal care service,yes,yes,7,1,1
Scissors & Sun Hair Salon,Personal care service,yes,yes,7,1,1
Scotia Cheer Athletics,Fitness establishment,yes,yes,0,1,1
Scotia Chiropractic Health Center,Self-regulated health professional,yes,yes,6,1,1
Scotia Festival of Music,Charity,yes,yes,7,1,1
Scotia Lash,Personal care service,yes,yes,7,1,1
Scotia Lunch,Restaurant with onsite dining,yes,yes,4,1,1
Scotia Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Scotia Speedworld,"Live, performing arts for audience",no,yes,3,0,1
Scotia Suzuki School of Music,"Live, performing arts for audience",yes,yes,3,1,1
ScotiaCare Homecare & Givers,Personal care service,yes,yes,7,1,1
SDF Production Services,"Live, performing arts for audience",yes,yes,3,1,1
Sea Port Gifts & Treasures,Small retail,no,yes,2,0,1
Sea Side Casual Wear,Small retail,no,yes,2,0,1
Seacoast Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Seal Cove Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Seamus David's Pub,Restaurant with onsite dining,yes,yes,4,1,1
Seapoint Dental Arts,Self-regulated health professional,yes,yes,6,1,1
Seashore / Blue Rock,Restaurant with onsite dining,yes,yes,4,1,1
Seaside Bowling Lanes,Fitness establishment,yes,yes,0,1,1
Seaside Chiropractic and Health Centre,Self-regulated health professional,yes,yes,6,1,1
Seaside Seafoods,Restaurant with onsite dining,no,yes,4,0,1
Seawind Landing Country Inn,Restaurant with onsite dining,yes,yes,4,1,1
Second Cup,Restaurant with onsite dining,yes,yes,4,1,1
Second Cup,Restaurant with onsite dining,yes,yes,4,1,1
Second Cup,Restaurant with onsite dining,yes,yes,4,1,1
Second Cup Bedford,Restaurant with onsite dining,yes,yes,4,1,1
Secrets Spa & Hair Design,Personal care service,yes,yes,7,1,1
Selby's Bunker Cafe & Gifts,Restaurant with onsite dining,yes,no,4,1,0
Selkie's Neighbourhood Diner,Restaurant with onsite dining,yes,yes,4,1,1
Senobe Aquatic Club,Fitness establishment,no,yes,0,0,1
Sensea Nordic Spa,Personal care service,yes,yes,7,1,1
Seoul Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Sequels Boutique,Small retail,no,yes,2,0,1
Serene Design Hair Salon,Personal care service,yes,yes,7,1,1
Sergeants' Mess Association,Restaurant with onsite dining,yes,yes,4,1,1
Serpentine Studios,Fitness establishment,yes,yes,0,1,1
Seven Feathers Healing Arts,Self-regulated health professional,yes,yes,6,1,1
Sevenfold Ink Tattoo,Personal care service,yes,yes,7,1,1
Severus Salon,Personal care service,yes,yes,7,1,1
SGCosmetic,Personal care service,yes,yes,7,1,1
Shades of You Hair Design,Personal care service,yes,no,7,1,0
Shadia's Pizza,Restaurant with onsite dining,yes,no,4,1,0
Shakespeare By The Sea Theatre Society,Charity,yes,no,7,1,0
Shameless Music,"Live, performing arts for audience",yes,yes,3,1,1
Shanti Hot Yoga,Fitness establishment,yes,yes,0,1,1
Shanti Hot Yoga,Fitness establishment,yes,yes,0,1,1
Shanti Hot Yoga,Fitness establishment,yes,yes,0,1,1
Shanxipaomo Chinese Restaurant,Restaurant with onsite dining,yes,no,4,1,0
Shape Shift Strategies,"Live, performing arts for audience",no,yes,3,0,1
Sharon's Place Family Restaurant,Restaurant with onsite dining,no,yes,4,0,1
Sharp Styles Unisex Salon,Personal care service,yes,yes,7,1,1
Shaw Sound and Lighting,"Live, performing arts for audience",yes,yes,3,1,1
Shawarma Stop,Restaurant with onsite dining,yes,yes,4,1,1
Shaydid Music Production,"Live, performing arts for audience",yes,yes,3,1,1
Shear Effect Hair Salon,Personal care service,yes,yes,7,1,1
Shear Eklipz Hair and Esthetics,Personal care service,no,yes,7,0,1
Shear FX Hair Design,Personal care service,yes,yes,7,1,1
Shear Illusion Beauty Studio,Personal care service,yes,yes,7,1,1
Shear Indulgence Salon,Personal care service,no,yes,7,0,1
Shear Madness Hair Design,Personal care service,yes,yes,7,1,1
Shear Style & Clippers II,Personal care service,yes,yes,7,1,1
Shear Touch Hair Design,Personal care service,yes,yes,7,1,1
Shears 2 U Hair Design,Personal care service,yes,yes,7,1,1
Shears Salon & Spa,Personal care service,yes,yes,7,1,1
Sheet Harbour Motel and Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Shelburne Baptist Church,Charity,yes,no,7,1,0
Shelburne Physiotherapy,Self-regulated health professional,yes,yes,6,1,1
Shenanigans Sports Bar,Restaurant with onsite dining,yes,yes,4,1,1
Sher-Do's,Personal care service,yes,yes,7,1,1
Shine Factory,Small retail,no,yes,2,0,1
Shiny Tiny Bubble Laundromat & Aster Cafe,Restaurant with onsite dining,no,yes,4,0,1
Ship Shape Barber Shop,Personal care service,yes,yes,7,1,1
Ship Victory Beverage Room and Grill,Restaurant with onsite dining,yes,yes,4,1,1
Shiraz Restaurant Home of Persian Food,Restaurant with onsite dining,yes,yes,4,1,1
Shivani's Kitchen,Restaurant with onsite dining,no,yes,4,0,1
Shooter's Sports,Restaurant with onsite dining,no,yes,4,0,1
Shop on the Corner,Restaurant with onsite dining,yes,yes,4,1,1
Shore Road Seafood,Restaurant with onsite dining,yes,yes,4,1,1
Shoreline Speech Therapy,Self-regulated health professional,yes,yes,6,1,1
Show Time Supplements,Fitness establishment,no,yes,0,0,1
Shubenacadie Canal Commission,Charity,yes,no,7,1,0
Side Hustle Snack Bar,Restaurant with onsite dining,yes,yes,4,1,1
Signal Hill Music,"Live, performing arts for audience",yes,yes,3,1,1
Signature Health,Self-regulated health professional,yes,yes,6,1,1
Silver Dragon Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Silver Horse Florist,Small retail,no,yes,2,0,1
Silver Silk Apparel & Bedding,Small retail,no,yes,2,0,1
Silverbirch Spirit Connections,Small retail,no,yes,2,0,1
Simeon's Family Restaurant,Restaurant with onsite dining,yes,yes,4,1,1
Simplicity Nails Studio,Personal care service,yes,no,7,1,0
Simply Beautiful Esthetics,Personal care service,yes,yes,7,1,1
Simply For Life,Self-regulated health professional,yes,yes,6,1,1
Simply Pho You,Restaurant with onsite dining,yes,yes,4,1,1
